Date,Product,Units Sold,Unit Price,Total Revenue
2022-01-01,Apple iPhone 13,5,1000.00,5000.00
2022-01-01,Samsung Galaxy S21,3,900.00,2700.00
2022-01-01,Sony PlayStation 5,2,500.00,1000.00
2022-01-02,Microsoft Surface,4,1200.00,4800.00
2022-01-02,Bose QuietComfort,6,350.00,2100.00
2022-01-02,Nike Air Max,8,100.00,800.00
2022-01-03,Apple AirPods Pro,10,200.00,2000.00
2022-01-03,Fitbit Charge 5,7,150.00,1050.00
2022-01-03,Nintendo Switch,1,300.00,300.00
2022-01-04,Samsung QLED TV,2,1500.00,3000.00
2022-01-04,Dyson V11 Absolute,3,600.00,1800.00
2022-01-04,Adidas Ultraboost,4,180.00,720.00
2022-01-05,Apple MacBook Pro,1,2000.00,2000.00
2022-01-05,GoPro Hero 10 Black,2,500.00,1000.00
2022-01-05,LG OLED TV,3,1800.00,5400.00
